Gene	Virus	Virus_num	Virally_targeted
H2AW	Ebola virus,Hendra virus,Hepatitis C virus,Human herpesvirus 1,Human parainfluenza virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Nipah virus,Porcine rotavirus,Vaccinia virus	12	Specific
H2AX	Human cytomegalovirus	1	Specific
H2AZ1	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Lymphocytic choriomeningitis virus,Recombinant Hepatitis C virus	4	Specific
H2AZ2	Epstein-Barr virus,Kaposi's sarcoma-associated herpesvirus	2	Specific
H2BC1	Ebola virus,Epstein-Barr virus	2	Specific
H2BC11	Ebola virus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus	5	Specific
H2BC12	Ebola virus,Hendra virus,Human herpesvirus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 9,Influenza A virus (H3N2),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Vaccinia virus	11	Specific
H2BC13	Ebola virus,Hendra virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	8	Specific
H2BC14	Ebola virus,Hendra virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	7	Specific
H2BC15	Ebola virus,Hendra virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	7	Specific
H2BC17	Ebola virus,Human herpesvirus 1,Influenza A virus (H5N1)	3	Specific
H2BC18	Ebola virus,Hendra virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	8	Specific
H2BC21	Ebola virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1)	5	Specific
H2BC3	Ebola virus,Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H5N1)	5	Specific
H2BC4	Human immunodeficiency virus 1	1	Specific
H2BC5	Ebola virus,Hendra virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	7	Specific
H2BC8	Epstein-Barr virus	1	Specific
H2BC9	Ebola virus,Hendra virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Recombinant Hepatitis C virus,Vaccinia virus	8	Specific
H2BS1	Ebola virus,Human herpesvirus 1,Influenza A virus (H3N2),Influenza A virus (H5N1),Vaccinia virus	5	Specific
H2BU1	Ebola virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H5N1)	4	Specific
H3-3B	Human immunodeficiency virus 1	1	Specific
H3-4	Ebola virus,Human herpesvirus 1,Lake Victoria marburgvirus ,Vaccinia virus	4	Specific
H3-5	Ebola virus,Lake Victoria marburgvirus 	2	Specific
H3C1	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1	3	Specific
H3C14	Kaposi's sarcoma-associated herpesvirus	1	Specific
H3C2	Human immunodeficiency virus 1	1	Specific
H4-16	Human immunodeficiency virus 1	1	Specific
H4C1	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus	4	Specific
HABP4	Human cytomegalovirus	1	Specific
HACD1	Human cytomegalovirus	1	Specific
HACD2	Dengue virus 2,SARS-CoV-2,Zika virus	3	Specific
HACD3	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus ,Zika virus	12	Specific
HADHA	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 31,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,Zika virus	8	Specific
HADHB	Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Mammalian orthoreovirus 1,Measles virus ,Zika virus	8	Specific
HAL	Human cytomegalovirus	1	Specific
HAMP	Hepatitis C virus	1	Specific
HAO1	Hepatitis C virus	1	Specific
HAO2	Hepatitis C virus	1	Specific
HARS2	Human immunodeficiency virus 1,SARS-CoV-2	2	Specific
HAS1	Human papillomavirus 31	1	Specific
HAT1	Human immunodeficiency virus 1,Influenza A virus (H1N1)	2	Specific
HAUS1	Influenza A virus (H1N1),Zika virus	2	Specific
HAUS3	Influenza A virus (H1N1)	1	Specific
HAUS4	Dengue virus 2,Human papillomavirus 1a	2	Specific
HAUS5	Influenza A virus (H1N1)	1	Specific
HAUS6	Dengue virus 2,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2	6	Specific
HAUS7	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
HAUS8	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
HAVCR1	SARS-CoV-1	1	Specific
HAVCR2	Human adenovirus E	1	Specific
HAX1	Classical swine fever virus,Dengue virus 2,Ebola virus,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 31,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Measles virus ,SARS-CoV-2,Zika virus	18	Pan
HBB	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Epstein-Barr virus,Human cytomegalovirus,Influenza A virus (H1N1)	7	Specific
HBD	Human cytomegalovirus,La Crosse virus	2	Specific
HBG1	Human cytomegalovirus	1	Specific
HBG2	Human herpesvirus 1	1	Specific
HCAR1	Hepatitis C virus	1	Specific
HCCS	Epstein-Barr virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
HCFC1	Bovine herpesvirus 1.1,Human herpesvirus 1,Influenza A virus (H1N1)	3	Specific
HCFC2	Kaposi's sarcoma-associated herpesvirus	1	Specific
HCK	Hepatitis C virus,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus	3	Specific
HCN3	Human herpesvirus 1	1	Specific
HCoV_ORF3	SARS-CoV-2	1	Specific
HDAC1	Bovine herpesvirus 1.1,Epstein-Barr virus,Fowl adenovirus A serotype 1,Human adenovirus C,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 31,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Macaca mulatta polyomavirus 1,Murid herpesvirus 1	14	Specific
HDAC2	Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Murid herpesvirus 1,SARS-CoV-2	8	Specific
HDAC3	Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 31	4	Specific
HDAC4	Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 8	4	Specific
HDAC5	Human herpesvirus 1	1	Specific
HDAC6	Human immunodeficiency virus 1,Human T-cell leukemia virus 1	2	Specific
HDAC7	Human herpesvirus 1,Human papillomavirus 8	2	Specific
HDAC8	Human immunodeficiency virus 1	1	Specific
HDAC9	Human cytomegalovirus,Human herpesvirus 1	2	Specific
HDDC2	Human immunodeficiency virus 1	1	Specific
HDGF	Human cytomegalovirus,SARS-CoV-1	2	Specific
HDGFL2	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 8,Zika virus	4	Specific
HDGFL3	Hepatitis C virus	1	Specific
HDHD5	SARS-CoV-1	1	Specific
HDLBP	Epstein-Barr virus,Human immunodeficiency virus 1,Human polyomavirus (type JC),Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Merkel cell polyomavirus,SARS-CoV-1,Zika virus	8	Specific
HEATR1	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,MERS-CoV,SARS-CoV-1	8	Specific
HEATR3	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,MERS-CoV,SARS-CoV-1,SARS-CoV-2,Uukuniemi virus	6	Specific
HEATR5A	Human cytomegalovirus	1	Specific
HEATR6	SARS-CoV-1	1	Specific
HECTD1	Dengue virus 2,Human cytomegalovirus,Human respiratory syncytial virus,Influenza A virus (H1N1),Murid herpesvirus 4,SARS-CoV-1,SARS-CoV-2	7	Specific
HECTD3	Human cytomegalovirus,Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus	3	Specific
HECW1	Human cytomegalovirus,Human papillomavirus 16,Kunjin virus 	3	Specific
HECW2	Human cytomegalovirus	1	Specific
HELLS	Influenza A virus (H1N1)	1	Specific
HELZ	Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H3N2)	3	Specific
HELZ2	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
HEMK1	Hepatitis E virus	1	Specific
HENMT1	Human T-cell leukemia virus 1	1	Specific
HEPHL1	Human cytomegalovirus	1	Specific
HERC1	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
HERC2	Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	6	Specific
HERC4	Human cytomegalovirus	1	Specific
HERC5	Human immunodeficiency virus 1,Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus,Zika virus	4	Specific
HERPUD1	Dengue virus 2,Human enterovirus 71	2	Specific
HES1	Human cytomegalovirus	1	Specific
HEXIM1	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
HFE	SARS-CoV-2	1	Specific
HGF	Human herpesvirus 1	1	Specific
HGH1	Human cytomegalovirus,Human immunodeficiency virus 1,SARS-CoV-2	3	Specific
HGS	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 8,Human T-cell leukemia virus 1,Human T-cell leukemia virus 2	6	Specific
HHIP	Human immunodeficiency virus 1	1	Specific
HIBADH	SARS-CoV-1	1	Specific
HIC1	Human immunodeficiency virus 1	1	Specific
HIC2	Hepatitis B virus	1	Specific
HIF1A	Hepatitis B virus,Kaposi's sarcoma-associated herpesvirus	2	Specific
HIGD1A	Influenza A virus (H1N1),Measles virus 	2	Specific
HIGD2A	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	4	Specific
HINT1	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
HINT2	Human cytomegalovirus,Human herpesvirus 1	2	Specific
HIP1R	Influenza A virus (H1N1)	1	Specific
HIPK2	Human herpesvirus 1,Seoul orthohantavirus	2	Specific
HIRA	Kaposi's sarcoma-associated herpesvirus	1	Specific
HIVEP1	Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2)	7	Specific
HIVEP2	Hepatitis C virus	1	Specific
HJURP	Influenza A virus (H1N1)	1	Specific
HK1	Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2)	3	Specific
HK2	Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
HK3	SARS-CoV-2	1	Specific
HKDC1	Influenza A virus (H1N1)	1	Specific
HLA-A	Dengue virus 2,Epstein-Barr virus,HCoV-NL63,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2,Zika virus	9	Specific
HLA-B	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2)	7	Specific
HLA-C	Dengue virus 2,HCoV-NL63,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-2	9	Specific
HLA-DMB	SARS-CoV-2	1	Specific
HLA-DQB1	Epstein-Barr virus,Human papillomavirus 16	2	Specific
HLA-DRA	Hepatitis delta virus,Kaposi's sarcoma-associated herpesvirus,Vaccinia virus	3	Specific
HLA-DRB1	Influenza A virus (H3N2)	1	Specific
HLA-E	HCoV-NL63,Human cytomegalovirus,Human immunodeficiency virus 1,SARS-CoV-2	4	Specific
HLA-F	Human cytomegalovirus	1	Specific
HLA-G	SARS-CoV-2	1	Specific
HLTF	Epstein-Barr virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
HM13	Dengue virus 2,Epstein-Barr virus,HCoV-229E,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,Zika virus	13	Specific
HMBOX1	Influenza A virus (H3N2),Zika virus	2	Specific
HMBS	Human cytomegalovirus	1	Specific
HMG20A	Cowpox virus	1	Specific
HMGA1	Human papillomavirus 3,Human papillomavirus 8,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1	5	Specific
HMGA2	Epstein-Barr virus,Human cytomegalovirus	2	Specific
HMGB1	Borna disease virus ,Human papillomavirus 8,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
HMGB2	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus	3	Specific
HMGB3	Human cytomegalovirus	1	Specific
HMGCL	Human herpesvirus 1	1	Specific
HMGCR	HCoV-229E,Hepatitis C virus,Human cytomegalovirus,SARS-CoV-2	4	Specific
HMGCS1	Human cytomegalovirus	1	Specific
HMGN1	Human herpesvirus 1,Human papillomavirus 31,SARS-CoV-1	3	Specific
HMGN2	Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	8	Specific
HMGN3	Hepatitis C virus	1	Specific
HMOX1	Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
HMOX2	Epstein-Barr virus,HCoV-229E,Human enterovirus 71,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	9	Specific
HNF4A	Murid herpesvirus 4	1	Specific
HNRNPA0	Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Porcine reproductive and respiratory syndrome virus	5	Specific
HNRNPA1	Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 32,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Murine hepatitis virus,Porcine reproductive and respiratory syndrome virus,Vaccinia virus	12	Specific
HNRNPA1L2	Ebola virus,Hepatitis C virus,Influenza A virus (H1N1)	3	Specific
HNRNPA2B1	Classical swine fever virus,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Nipah virus,Porcine reproductive and respiratory syndrome virus,Vaccinia virus	11	Specific
HNRNPA3	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Porcine reproductive and respiratory syndrome virus,SARS-CoV-2	8	Specific
HNRNPAB	Classical swine fever virus,Ebola virus,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 1a,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Nipah virus,Vaccinia virus	11	Specific
HNRNPC	Classical swine fever virus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Measles virus ,Murid herpesvirus 4,Porcine reproductive and respiratory syndrome virus,Vaccinia virus,Vesicular stomatitis virus	11	Specific
HNRNPCL1	Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	4	Specific
HNRNPD	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 9,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Measles virus ,Vaccinia virus	8	Specific
HNRNPDL	Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Measles virus ,Porcine reproductive and respiratory syndrome virus,SARS-CoV-1,SARS-CoV-2	9	Specific
HNRNPF	Dengue virus 2,Ebola virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Influenza A virus (H5N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Murid herpesvirus 1,Porcine reproductive and respiratory syndrome virus,Tick-borne encephalitis virus	13	Specific
HNRNPH1	Classical swine fever virus,Ebola virus,Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Influenza A virus (H5N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Murid herpesvirus 1,Nipah virus,Porcine reproductive and respiratory syndrome virus	14	Specific
HNRNPH2	Ebola virus,Hepatitis C virus,Human adenovirus C,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),La Crosse virus,Lymphocytic choriomeningitis virus,Murid herpesvirus 1,Nipah virus	12	Specific
HNRNPH3	Alkhumra hemorrhagic fever virus,Ebola virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Nipah virus,Porcine reproductive and respiratory syndrome virus	10	Specific
HNRNPK	African swine fever virus,Chikungunya virus,Classical swine fever virus,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Human papillomavirus 16,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Measles virus ,Porcine reproductive and respiratory syndrome virus,Semliki Forest virus,Sindbis virus,Vaccinia virus	17	Pan
HNRNPL	Ebola virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus	6	Specific
HNRNPLL	Hepatitis E virus	1	Specific
HNRNPM	Classical swine fever virus,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Measles virus ,SARS-CoV-1	7	Specific
HNRNPR	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Vaccinia virus	10	Specific
HNRNPU	Classical swine fever virus,Ebola virus,Epstein-Barr virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Influenza A virus (H1N1),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Lymphocytic choriomeningitis virus,Vaccinia virus	12	Specific
HNRNPUL1	Classical swine fever virus,Dengue virus 2,Ebola virus,Human adenovirus C,Human herpesvirus 1,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Lymphocytic choriomeningitis virus,Vesicular stomatitis virus	12	Specific
HNRNPUL2	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2	7	Specific
HOMER3	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus	3	Specific
HOMEZ	Kaposi's sarcoma-associated herpesvirus	1	Specific
HOOK1	Dengue virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2	4	Specific
HOOK2	SARS-CoV-2	1	Specific
HOOK3	HCoV-229E,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
HOXA10	Human herpesvirus 1	1	Specific
HOXA5	Kaposi's sarcoma-associated herpesvirus,Zika virus	2	Specific
HOXB9	Human T-cell leukemia virus 1	1	Specific
HOXC9	Human papillomavirus 16,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9	8	Specific
HOXD10	Human cytomegalovirus	1	Specific
HOXD13	Influenza A virus (H1N1)	1	Specific
HOXD3	Human T-cell leukemia virus 1	1	Specific
HOXD8	Hepatitis C virus	1	Specific
HP	Hepatitis E virus,Human cytomegalovirus	2	Specific
HP1BP3	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Zika virus	7	Specific
HPCAL1	Influenza A virus (H1N1)	1	Specific
HPCAL4	Macaca mulatta polyomavirus 1	1	Specific
HPGDS	Human herpesvirus 1	1	Specific
HPN	Hepatitis B virus	1	Specific
HPR	Kaposi's sarcoma-associated herpesvirus	1	Specific
HPRT1	Hepatitis B virus	1	Specific
HPS6	Epstein-Barr virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-1	5	Specific
HPSE	Human cytomegalovirus	1	Specific
HRAS	Hepatitis C virus	1	Specific
HRG	Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus,Murid herpesvirus 4	4	Specific
HRNR	Human immunodeficiency virus 1,Influenza A virus (H1N1),Vaccinia virus	3	Specific
HS2ST1	Hepatitis C virus,Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	4	Specific
HS6ST2	SARS-CoV-2	1	Specific
HS6ST3	SARS-CoV-2	1	Specific
HSBP1	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
