Gene	Virus	Virus_num	Virally_targeted
ANK3	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
ANKFY1	Influenza A virus (H1N1)	1	Specific
ANKHD1	Human immunodeficiency virus 1,Human papillomavirus 39,Influenza A virus (H1N1),Influenza A virus (H3N2),Murid herpesvirus 4,SARS-CoV-2	6	Specific
ANKIB1	SARS-CoV-1	1	Specific
ANKLE2	Zika virus	1	Specific
ANKRD10	Influenza A virus (H3N2)	1	Specific
ANKRD12	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Hepatitis C virus	5	Specific
ANKRD13A	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 18,Merkel cell polyomavirus	6	Specific
ANKRD17	Human immunodeficiency virus 1,Murid herpesvirus 4	2	Specific
ANKRD18B	Influenza A virus (H3N2)	1	Specific
ANKRD20A1	Influenza A virus (H3N2)	1	Specific
ANKRD28	Hepatitis C virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
ANKRD30B	Human polyomavirus 1,Macaca mulatta polyomavirus 1	2	Specific
ANKRD34A	Influenza A virus (H3N2)	1	Specific
ANKRD36C	Influenza A virus (H3N2)	1	Specific
ANKRD39	Human herpesvirus 1	1	Specific
ANKRD40	Epstein-Barr virus,Human cytomegalovirus	2	Specific
ANKRD44	Kaposi's sarcoma-associated herpesvirus	1	Specific
ANKRD49	Human papillomavirus 32	1	Specific
ANKRD50	Dengue virus 2,Hepatitis C virus,Murid herpesvirus 4	3	Specific
ANKRD52	Kaposi's sarcoma-associated herpesvirus,Zika virus	2	Specific
ANKS1B	Dengue virus 2	1	Specific
ANKS3	Human cytomegalovirus,Zika virus	2	Specific
ANKS6	Zika virus	1	Specific
ANKZF1	Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus	2	Specific
ANO10	Human cytomegalovirus,Human papillomavirus 18,Kaposi's sarcoma-associated herpesvirus,Zika virus	4	Specific
ANO6	HCoV-229E,Human cytomegalovirus,Human papillomavirus 18,SARS-CoV-1,SARS-CoV-2	5	Specific
ANO8	Human papillomavirus 18	1	Specific
ANP32A	Dengue virus 2,Ebola virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Zika virus	6	Specific
ANP32B	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Ebola virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1)	8	Specific
ANP32E	Ebola virus,Human immunodeficiency virus 1,Human papillomavirus 31	3	Specific
ANTXR1	Human cytomegalovirus,Influenza A virus (H1N1),Uukuniemi virus	3	Specific
ANTXR2	Human cytomegalovirus	1	Specific
ANXA1	Hendra virus,Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2),Vaccinia virus	9	Specific
ANXA11	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 32,Human papillomavirus 9,Rubella virus	5	Specific
ANXA2	Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 8,Influenza A virus (H1N1),Vaccinia virus	8	Specific
ANXA2R	Human cytomegalovirus	1	Specific
ANXA3	Human cytomegalovirus,Human papillomavirus 8	2	Specific
ANXA4	SARS-CoV-1	1	Specific
ANXA5	Epstein-Barr virus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
ANXA6	Epstein-Barr virus,Human T-cell leukemia virus 1,Influenza A virus (H1N1),SARS-CoV-2	4	Specific
ANXA7	Human papillomavirus 39,Kaposi's sarcoma-associated herpesvirus	2	Specific
ANXA8L1	Human cytomegalovirus	1	Specific
AOC1	Hepatitis B virus	1	Specific
AOC3	Hepatitis delta virus	1	Specific
AOX1	Hepatitis E virus	1	Specific
AP1AR	Human cytomegalovirus	1	Specific
AP1B1	Human immunodeficiency virus 1	1	Specific
AP1G1	Human immunodeficiency virus 1,Measles virus 	2	Specific
AP1G2	Hepatitis B virus	1	Specific
AP1M1	Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 31	4	Specific
AP1M2	Human papillomavirus 16,Human papillomavirus 18	2	Specific
AP2A1	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 6b,Human papillomavirus 9,Influenza A virus (H1N1),Merkel cell polyomavirus,SARS-CoV-1	9	Specific
AP2A2	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-2	6	Specific
AP2B1	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2),Vaccinia virus	11	Specific
AP2M1	Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),Merkel cell polyomavirus,SARS-CoV-1,SARS-CoV-2	10	Specific
AP2S1	Human immunodeficiency virus 1,Human papillomavirus 6b,Influenza A virus (H1N1),SARS-CoV-1	4	Specific
