Gene	Virus	Abbre	Baltimore	Family
ENOX2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SRFBP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSEN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SCFD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CLN6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CHORDC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMEM200C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEC22B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
YIPF6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
OXA1L	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SH3GLB2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TNPO3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AMOT	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TOMM70	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSMA5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RAB7A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RANBP6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC25A4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC25A40	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LMNB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RBMS1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DENND1C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MSH6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UBE2I	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
REPIN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RETREG3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DNAJA1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FUNDC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DPM1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EEF1B2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EMC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BAG3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SPCS2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BAZ1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SPTLC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BCAP31	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RMND1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ABT1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ABCD3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EIF1AY	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PRPF39	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPL1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
C19orf25	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LMNA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NECAB2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GPKOW	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSME3IP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KTN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PTCD3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
IPO4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GRM4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KNTC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MAPRE2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RAF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MMS19	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCDC137	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TUBA4A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SF3A1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NOC4L	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP2B1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LRRK2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TTC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFB11	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CDC73	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFB5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MT-CO2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MTHFD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFS2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
