Virus	Abbre	Carrier	Carrier TaxId	Carrier Taxa
MERS-CoV	MERS-CoV	rhinolophus ferrumequinum	59479	mammals
MERS-CoV	MERS-CoV	cavia porcellus	10141	rodents
MERS-CoV	MERS-CoV	taphozous perforatus	1381355	 
MERS-CoV	MERS-CoV	camelus dromedarius	9838	mammals
MERS-CoV	MERS-CoV	equus asinus	9793	mammals
MERS-CoV	MERS-CoV	neoromicia capensis	110938	mammals
MERS-CoV	MERS-CoV	rhinolophus sinicus	89399	mammals
MERS-CoV	MERS-CoV	callithrix jacchus	9483	primates
MERS-CoV	MERS-CoV	ovis aries	9940	mammals
MERS-CoV	MERS-CoV	eonycteris spelaea	58065	mammals
MERS-CoV	MERS-CoV	vespertilio murinus	59485	mammals
MERS-CoV	MERS-CoV	suncus murinus	9378	mammals
MERS-CoV	MERS-CoV	miniopterus pusillus	258934	mammals
MERS-CoV	MERS-CoV	papio hamadryas	9557	primates
MERS-CoV	MERS-CoV	eptesicus serotinus	59452	mammals
MERS-CoV	MERS-CoV	cricetulus griseus	10029	rodents
MERS-CoV	MERS-CoV	pipistrellus nathusii	59473	mammals
MERS-CoV	MERS-CoV	hypsugo pulveratus	867834	mammals
MERS-CoV	MERS-CoV	capra hircus	9925	mammals
MERS-CoV	MERS-CoV	epomophorus gambianus	372077	mammals
MERS-CoV	MERS-CoV	sus scrofa	9823	mammals
MERS-CoV	MERS-CoV	eptesicus fuscus	29078	mammals
SARS-CoV-2	SARS-CoV-2	synthetic construct	32630	synthetic
SARS-CoV-2	SARS-CoV-2	giraffa camelopardalis	9894	mammals
SARS-CoV-2	SARS-CoV-2	paradoxurus hermaphroditus	71117	mammals
SARS-CoV-2	SARS-CoV-2	mephitis mephitis	30548	mammals
SARS-CoV-2	SARS-CoV-2	puma concolor	9696	mammals
SARS-CoV-2	SARS-CoV-2	nyctereutes procyonoides	34880	mammals
SARS-CoV-2	SARS-CoV-2	odocoileus virginianus	9874	mammals
SARS-CoV-2	SARS-CoV-2	neovison vison	452646	mammals
SARS-CoV-1	SARS-CoV-1	paradoxurus hermaphroditus	71117	mammals
SARS-CoV-2	SARS-CoV-2	papio hamadryas	9557	primates
SARS-CoV-1	SARS-CoV-1	mus musculus	10090	rodents
SARS-CoV-2	SARS-CoV-2	nasua nasua	9651	mammals
SARS-CoV-2	SARS-CoV-2	panthera leo	9689	mammals
SARS-CoV-1	SARS-CoV-1	homo sapiens	9606	primates
SARS-CoV-2	SARS-CoV-2	canis lupus	9612	mammals
SARS-CoV-1	SARS-CoV-1	chlorocebus aethiops	9534	primates
SARS-CoV-2	SARS-CoV-2	ochotona princeps	9978	mammals
SARS-CoV-2	SARS-CoV-2	panthera uncia	29064	mammals
SARS-CoV-2	SARS-CoV-2	vulpes vulpes	9627	mammals
SARS-CoV-2	SARS-CoV-2	panthera tigris	9694	mammals
SARS-CoV-2	SARS-CoV-2	rattus norvegicus	10116	rodents
SARS-CoV-1	SARS-CoV-1	paguma larvata	9675	mammals
SARS-CoV-2	SARS-CoV-2	capra hircus	9925	mammals
SARS-CoV-2	SARS-CoV-2	homo sapiens	9606	primates
SARS-CoV-2	SARS-CoV-2	aselliscus stoliczkanus	188568	mammals
SARS-CoV-2	SARS-CoV-2	chlorocebus aethiops	9534	primates
SARS-CoV-2	SARS-CoV-2	arctictis binturong	94180	mammals
SARS-CoV-2	SARS-CoV-2	luscinia megarhynchos	383689	vertebrates
SARS-CoV-2	SARS-CoV-2	bos taurus	9913	mammals
SARS-CoV-2	SARS-CoV-2	rhinolophus sinicus	89399	mammals
SARS-CoV-2	SARS-CoV-2	alces americanus	999462	mammals
SARS-CoV-2	SARS-CoV-2	procyon lotor	9654	mammals
SARS-CoV-2	SARS-CoV-2	panthera pardus	9691	mammals
SARS-CoV-2	SARS-CoV-2	chlorocebus sabaeus	60711	primates
SARS-CoV-2	SARS-CoV-2	felis catus	9685	mammals
SARS-CoV-2	SARS-CoV-2	mesocricetus auratus	10036	rodents
SARS-CoV-2	SARS-CoV-2	peromyscus maniculatus	10042	rodents
SARS-CoV-2	SARS-CoV-2	rousettus aegyptiacus	9407	mammals
SARS-CoV-2	SARS-CoV-2	pipistrellus abramus	105295	mammals
SARS-CoV-2	SARS-CoV-2	myodes glareolus	447135	rodents
SARS-CoV-2	SARS-CoV-2	cygnus atratus	8868	vertebrates
SARS-CoV-2	SARS-CoV-2	phodopus roborovskii	109678	rodents
SARS-CoV-2	SARS-CoV-2	mus musculus	10090	rodents
SARS-CoV-2	SARS-CoV-2	mustela putorius	9668	mammals
SARS-CoV-2	SARS-CoV-2	rhinolophus affinis	59477	mammals
SARS-CoV-2	SARS-CoV-2	oryctolagus cuniculus	9986	mammals
SARS-CoV-2	SARS-CoV-2	macaca fascicularis	9541	primates
SARS-CoV-2	SARS-CoV-2	tylonycteris pachypus	258959	mammals
SARS-CoV-2	SARS-CoV-2	lutra lutra	9657	mammals
SARS-CoV-2	SARS-CoV-2	neotoma cinerea	105147	rodents
SARS-CoV-1	SARS-CoV-1	rhinolophus sinicus	89399	mammals
SARS-CoV-2	SARS-CoV-2	ovis aries	9940	mammals
SARS-CoV-2	SARS-CoV-2	macaca mulatta	9544	primates
SARS-CoV-2	SARS-CoV-2	mustela lutreola	9666	mammals
SARS-CoV-2	SARS-CoV-2	prionailurus viverrinus	61388	mammals
SARS-CoV-2	SARS-CoV-2	sus scrofa	9823	mammals
SARS-CoV-2	SARS-CoV-2	cavia porcellus	10141	rodents
SARS-CoV-2	SARS-CoV-2	crocuta crocuta	9678	mammals
SARS-CoV-2	SARS-CoV-2	pteropus giganteus	143291	mammals
SARS-CoV-2	SARS-CoV-2	callithrix jacchus	9483	primates
SARS-CoV-2	SARS-CoV-2	tupaia belangeri	37347	mammals
SARS-CoV-2	SARS-CoV-2	callithrix melanura	1090896	 
Vaccinia virus	VACV	macaca fascicularis	9541	primates
Vaccinia virus	VACV	sapajus apella	9515	primates
Vaccinia virus	VACV	ovis aries	9940	mammals
Vaccinia virus	VACV	bos taurus	9913	mammals
Vaccinia virus	VACV	oligoryzomys flavescens	218824	rodents
Vaccinia virus	VACV	bubalus bubalis	89462	mammals
Vaccinia virus	VACV	homo sapiens	9606	primates
Vaccinia virus	VACV	mus musculus	10090	rodents
Vaccinia virus	VACV	vulpes vulpes	9627	mammals
Vaccinia virus	VACV	felis catus	9685	mammals
Vaccinia virus	VACV	didelphis albiventris	42716	mammals
Vaccinia virus	VACV	alouatta caraya	9502	primates
Vaccinia virus	VACV	macaca mulatta	9544	primates
Vaccinia virus	VACV	chlorocebus sabaeus	60711	primates
Vaccinia virus	VACV	lynx lynx	13125	mammals
Vaccinia virus	VACV	oryctolagus cuniculus	9986	mammals
Vaccinia virus	VACV	papio cynocephalus	9556	primates
